customer_tweet_id,customer_message,brand_reply,expected_intent,expected_escalation,label_notes
1566680,Merci @120533 de me vendre un article d'occasion comme du neuf !!! C'est pas la 1er fois. Ça devient une habitude. #arnaques https://t.co/BRrGFHDYgf,"@483565 Bonjour,
L'article est-il expédié par Amazon ou par un vendeur tiers?
^MD",complaint_feedback,yes,Customer received a used item sold as new
435322,@British_Airways It’s my birthday! Hotel paid and all my friends in Belfast without me!! Worst experience ever. I never want to fly BA AGAIN after 20 years.,"@218405 Hi Imtiaz.  We're sorry for the delay to your flight, especially with it being your birthday.  Apologies for the inconvenience. ^N",complaint_feedback,yes,Complaint about flight delay affecting birthday travel plans
1049657,Went 2 board @VirginAmerica &amp; no 1 was @ the gate. Knocked &amp; no 1 came.. took a photo. Next flight 7am &amp; only 1 seat left for the 3 of us... https://t.co/C93vblHbUf,@368079 So sorry to hear this. Can you click the link and send your confirmation code so we can assist? -Jordan https://t.co/f5NIYX3JhL,complaint_feedback,yes,Flight boarding issue with limited seats on next flight
394779,@115993 I Just received this email is it from you guys or spam? As it looks bit funny to me. Let me know plz and thank you 4 your services 👍 https://t.co/uYeoiZD89O,@614967 Good eye! That definitely isn't a PayPal email. You can go ahead and forward the email to __email__. For m... https://t.co/Sfmehmu0co,information_request,no,Customer asking whether an email is spam
641505,"@Uber_Support I got a complete different order from ubereats. I contacted customer service several times but no one has responded back, it has been several hours now. Is customer service off today?",@272246 We're so sorry for the trouble. Send us a note via https://t.co/EGiaYE5JMU so we can assist.,complaint_feedback,yes,Customer received the wrong order and support has not responded
1143982,What kind of a @120984 has no popcorn chicken?! Disappointed is an understatement! #LetDown #ShouldaWentToMcDonalds,@281367 Sorry to hear that Stacey! Which store did you visit? ^KR,complaint_feedback,no,Customer is complaining that popcorn chicken was unavailable
347483,"@115851 my Case ID4000785252   i seller in india, plz check my cause and call +91 9016876311",@198753 We'd like to know more about the issue. Kindly provide your details here: https://t.co/HVbm8CI31O and we'll get back 1/2 ^SH,information_request,no,Customer asks the brand to check a case and provide assistance
312970,@115850 you people are cheaters.. lightening deal is just for name sake..,"@190744 credited to the Bank account linked with Citi Credit or Debit Card latest by January 08, 2018. 3/3 ^GK",complaint_feedback,no,Customer complains that the lightning deal was misleading
846641,Ain't nothing better than @McDonalds ❤️,"@321224 Aw, you're making us blush! Thanks for the love, Rachel! &lt;3",complaint_feedback,no,Customer is giving positive feedback about McDonald's
274937,@British_Airways is your website down or is it just rubbish? #britishsirways #good #customer #every #time #poorservice,@181683 Hi Fraser.  Sorry for the late reply.  We're not aware of any issues with our website.  Have you deleted your temporary internet files. ^N,technical_service_issue,no,Customer reports that the website is not working
1001684,"@sprintcare Why? Last time you told me there are no connection issues.  I'm done, looking forward to moving on in 6 months, 6 months of bad service.",@310032 We regret to hear about your dissatisfaction. if you change your mind we are here to help and ready to assist.,technical_service_issue,no,Customer reports dissatisfaction with service and previous connection issue
2621354,@SpotifyCares are you here in saudi arabia ?,"@297813 Hi there! We're still not available in Saudi Arabia, but we're launching regularly in countries around the world. Sign up here to be first to hear: https://t.co/XDwWzj7cLP /BM",information_request,no,Customer is asking whether Spotify is available in Saudi Arabia
938757,@hulu_support Well then can yall at least get batman the animated series?,"@342533 Great suggestion, Jesus! We're fans of BTAS too, so we'll be sure to share the interest with our content team!",information_request,no,Customer is making a suggestion/request for a specific TV series
2181977,OUPS ou UPS @115817 #qrcode https://t.co/upJab2jARW,"@639246 Do you need help on a UPS package? If so, please DM the tracking number and concern details. ^TV https://t.co/wKJHDXWGRQ",delivery_shipping,no,Customer is asking about a UPS package and shipping assistance
2228912,#underTheBed is the worse @127894 ad so far. Really gutted! Well done @marksandspencer best so far !!,@650489 @127894 😄🐻🎄🎉 #lovethebear,complaint_feedback,no,Customer is providing feedback about their experience
818527,@115722 worst service ever.   Do not subscribe to Verizon FIOS if you have a choice!  #worstcustomerservice,"@313881 We hate to see that you feel this way. We will be happy to help with your internet trouble. 
^HSB",complaint_feedback,yes,Customer is complaining about poor internet service and customer support
2124191,"@DellCares 
My lappy is showing system disable .Pls help me https://t.co/Dke8DBjliz","@625686 Hi,
Thank you for reaching out to us. Please direct message us that when does this message occur?
^NS",technical_service_issue,no,Customer is reporting a laptop system issue and asking for technical help
949112,"@115714 To Customers Service : Are  yall having techinical difficulties,  cause I keep getting routes to pay my bill,  call me back!",@345094 Thanks for reaching out. Please send us a DM and also follow us so we can further assist. -MM,technical_service_issue,no,Customer is reporting technical difficulties with the service and bill payment
858363,"@Morrisons And you 🥂, here's hoping the buyers come up with the goods too! 🤞🏻🤞🏻🤞🏻 #lovenuts 😂😂",@323830 N'awww thanks 🤞 😄 - Becky,complaint_feedback,no,Customer is providing general positive feedback
325759,@ChaseSupport Honestly I don’t know how to DM on twitter,@193604 Please DM us by clicking the link below. ^WP https://t.co/znUu1VJn9r,information_request,no,Customer is asking how to send a direct message on Twitter.
1266421,Hey @115830 please pay my seller funds which has been held for over 115 days! __email__ https://t.co/3IqSjs9wOz,@416526 Hi - please contact the Seller Support team for assistance: https://t.co/JSra2f6qSA ^TD,billing_payment,yes,Seller funds have been held for over 115 days and require support assistance.
2409353,@Morrisons disgusting making wednesbury branch take down the Christmas decorations around the bakery it was so lovely the kids loved it. Happy staff happy customers and they where not happy bunnies today come on Morrison’s big bosses let them put them back up don’t be humbugs 🎄,"@692782 Hi Deborah, really sorry to hear this 😔 I've passed your feedback on to the Store Manager 🙂🎄☃️ - Kirsty",complaint_feedback,no,Customer is providing feedback about store decorations and staff experience.
979038,@ArgosHelpers brought a product from yourselves still under guarantee 50 mins on phone Thursday promised a call back absolutely nothing,@352182 Hi Helen could you DM us your order number and we'll see if we can help you? Thanks - Neal.,technical_service_issue,yes,Customer reports a warranty issue and says the promised callback did not happen.
2972851,"@115821 your delivery photos are funny. A photo of where the package WAS before it is potentially stollen.  How about having your drivers ""hide"" the package behind a pillar or column?","@819928 Oh no Shawn, was your package stolen? If so, please reach out to us here: https://t.co/hApLpMlfHN, so we may provide you with options. ^SY",delivery_shipping,yes,Customer reports that the package may have been stolen and needs support.
2243298,@VerizonSupport No I'm switching to you guys from Comcast.. I can't take the constant outages they have.,@602030 We do have some pretty sweet deals right now. https://t.co/Mpv3EcmiXG ^KMG,technical_service_issue,yes,Customer is reporting constant service outages and wants to switch providers.
917908,@VirginAtlantic massive thx to crew on vs15 lgw-mco 20/10 for letting my daughter be honary flight crew! Made her year Amazing crew thanks! https://t.co/9nNoJc4q7z,@337917 Great photo Karen! Hope you're all having fun in Florida 😎 ^H,complaint_feedback,no,Customer is sharing positive feedback about a special flight experience
2787430,@117473 big shout out to Liam who was the last person in the building hence why he was so stressed out during my time of need. He hates Mondays. He really was a bad customer service rep. Poor bloke.,@778166 I am sorry to hear about this trouble with your account. Please send me a DM and I can help you further. ^GA,complaint_feedback,yes,Customer is complaining about poor customer service and needs help with an account issue.
2087666,Customer service @124441  is non existent. Wanted me to spend $ for a replacement phone lol... warranty supposed to be good 1 year!,@577689 We are sorry to hear this @577689. Please DM us to try to get that resolved.,refund_cancellation,yes,Customer reports a warranty issue with a replacement phone and needs support.
335772,@115858 @AppleSupport the new update sucks for iPhone 7 users. I constantly have to reset my phone because it freezes or an app doesn’t work,@196057 We'd like to help. Are you experiencing this issue on iOS 11.0.2?,technical_service_issue,yes,Customer reports that the phone freezes and apps stop working after the update.
739886,"@AmericanAir your customer service staff need better training. Such a shame, you let me down for the last time.","@296945 We never want to disappoint you, Shawn. What's going on? How can we help turn things around?",complaint_feedback,yes,Customer is complaining about poor customer service and staff training.
2879096,Just sent ya a message about my flights today... thanx @Delta,@799070 Hi there. Your upgrade has been requested. The agent at the airport will have to activate you on the airport standby list.  *HSD,information_request,no,Customer is discussing a flight upgrade request and airport standby process.
1509821,I hate when my lyft driver sits at his location and decides not to fucking come and waste my precious time. Just fucking cancel u dick,"@430571 Hi there, we are sorry to hear about this. Can you DM us your phone number? https://t.co/SXpdictw1A",complaint_feedback,no,Customer is complaining that the Lyft driver did not arrive and wasted their time.
2956219,"@VMUcare I’m having trouble activating my new iPhone... I’ve tried removing/reinstalling the sim, restarting, and restoring network settings... help?",@816011 Hey Michael. Sorry for the troubles.. Can you send us a DM so we can assist you please? Thanks!,technical_service_issue,yes,Customer is having trouble activating a new iPhone and needs technical support.
2784624,@777505 @115858 Does it with mine too. Must be a bug,@274540 We received your DM and would be happy to continue with you there.,technical_service_issue,no,Customer reports that the issue also affects their account and may be caused by a bug
20941,"@AirAsiaSupport Ms, pl look@ problem as well ?
Do u think if flight Ak37 wld hv been on time, I'ld hv caught the flight. Hw can u jstify dat delay?",@120597 &gt;&gt; inconvenience caused to you regarding this. You may opt for Airport Tax refund via : https://t.co/yUyvTZDtHT . Thanks,delivery_shipping,no,Customer reports that the issue also affects their account and may be caused by a bug.
767502,"@AskeBay Still, them having 100% positive feedback after non-payment is misleading to others in the eBay community. Many eBayers agree.","@303429 these types of buyers. I do appreciate your opinion so if you have any insight on how to prevent this let us know, Thanks^SG 2/2",complaint_feedback,yes,Customer is complaining about misleading positive feedback after a non-payment issue on eBay.
1562368,@AmazonHelp I've contacted you 32 times already ! Just refund me my money and give me the Hard copies of the content wiped out.,@306166 and we will respond on the same. (2/2) ^GK,refund_cancellation,yes,Customer has contacted support multiple times and is requesting a refund and copies of the content.
873231,Thanks for ruining my Friday night @GWRHelp... ridiculous delays ‘waiting for a guard’ #bullshitexcuse,@327307 Hi Kevin. Apologies for the delay and any inconvenience caused - Josh,complaint_feedback,yes,Customer is complaining about significant delays and poor service experience.
714091,45min on the phone w/@ATT to get a tech sent out and they don’t even set it up to send someone out!!! This is why I’m going to @121828 🙄,"@290813 Are you willing to give us a chance to right or wrongs? Slide in our DM, so that we know it's real! Hope to hear back! ^JewelR",technical_service_issue,no,Customer reports that a technician was not sent and the service was not set up as expected.
2317614,"@XboxSupport  Live in X360 down...The Apps should work without Live. Why is Live to access netflix? absurd",@671926 Hey there. The service does use live to connect completely to the web and so the sign in issue can effect this. Definitely 1/2 ^IS,technical_service_issue,yes,Customer is asking about a technical issue with accessing Netflix through the Live service.
559866,@AmazonHelp We’re watching it on the Tv so how would I do that? Thanks,@250921 So sorry about that! Let try a couple of these troubleshooting steps and see if they help: https://t.co/XFLhLxIvH7 ^LS,technical_service_issue,no,Customer is asking how to use the service on their TV and needs technical assistance.
2905740,@118625 uh... what did I just find in my food https://t.co/2C5a0gFfsr,@804653 We take this very seriously. DM us. We want to talk. https://t.co/FUsmRWStIs,technical_service_issue,yes,The customer says they found something unusual in their food and wants to report it.
14354,"@Uber_Support So just a bot or didn't actually read the tweet?  I didn't think I could be more disappointed in your ""support""",@119064 So sorry to hear this. Please send us a DM with your email address so we can help.,complaint_feedback,no,Customer is complaining about poor customer support and is disappointed with the response.
1337327,"Hey @AppleSupport, wozu ein Kontrollzentrum unter IOS11,wenn es nicht richtig Funktioniert!? Das nervt ziemlich!
https://t.co/OULzYIGh2f",@431932 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,technical_service_issue,yes,Customer is reporting that the Control Center is not working properly after the iOS 11 update.
1550166,"x264関連のファイルが毎回消失するんだけど
これノートン先生が悪さしてる系？","@479790 突然失礼いたします。
ノートンがファイルを削除した場合、履歴が残ります。
セキュリティ→履歴で、「表示」を「検疫」「SONAR活動」「解決したセキュリティリスク」等に設定してご確認いただけます。
削除されたファイルの復元も、履歴画面から行うことができます。-hide",technical_service_issue,yes,The customer is reporting that files are disappearing automatically and is asking why this is happening.
1276058,@LondonMidland what’s happening trains cancelled HH to Euston? Staff no clue what’s going on. Help,@418706 what time were you scheduled to depart?,delivery_shipping,no,The customer is complaining about trains being cancelled and wants information about the service/travel disruption.
984366,@115873 @Uber_Support no way I’m paying 5.65 for a trip your driver cancelled as they drove by me twice. Come on.,@353353 Sorry to hear about this. Please send us a note here https://t.co/QsI1vsvcif so we can connect.,refund_cancellation,yes,The customer is complaining about being charged for a cancelled trip and does not want to pay the fare.
1919865,@O2 waiting for an adviser to pick up the phone is as much as a joke as your network,"@571562 😞 We'd always answer your call ASAP, Laura. What are you looking to talk to us about? DM us more info, we want to help. https://t.co/5pyLDJBC6r",complaint_feedback,yes,The customer is complaining about poor customer service and long waiting time for an adviser to answer the phone.
249143,@AmazonHelp Est ce que c'est normal même que j'aille sonner chez des voisin pour récupérer MON colis déposé par votre livreur sans mon autorisation ?,@174211 Merci de remplir le formulaire sur le lien suivant afin que je puisse vérifier cela pour vous : https://t.co/HtUowg2UGX ^BR,delivery_shipping,no,The customer is asking about a package delivered by the driver without authorization and whether they can collect it from a neighbor.
1893583,"@marksandspencer Bought £10 deal - chicken lattice, peas sweetcorn &amp; broccoli, Profiterole, wine; pies 24£4 &amp; veg 24£1.50 - bill over £26?","@564591 Sorry about this, Sunita. Please take your receipt back to store so the staff can get this sorted for you.",billing_payment,yes,The customer is saying the receipt/bill amount is incorrect and the total charged does not match the expected amount.
1290305,"@421748 @SW_Help I know. At least with SWT, you could buy your ticket the day before at the same price. None of this 'limited availability' price nonsense.","@368794 @421748 Hi Garry, ticket prices are still the same as they were with SWT. There has been no price revision.  ^JH",billing_payment,yes,The customer is complaining about ticket pricing and saying the ticket price/availability pricing is misleading.
2344661,@Delta is there any problem with delta app on Android devices? I am not getting mobile boarding pass. This is 2nd time in row,"@678031 I am not showing any problems with the app today. If you're having trouble checking in, please feel free to DM your confirmation number and telephone number and we would be able to assist in checking you in for your flight. *AJY https://t.co/6iDGBJAc2m",technical_service_issue,no,The customer is reporting a technical problem with the Delta Android app because the mobile boarding pass is not being received.
642569,@comcastcares out in Denver,"@272535 Hello. I'd be more than happy to help with your service issue. Please send a DM with your full name, address and phone number. ~GM",technical_service_issue,no,"The customer is reporting that Comcast service is out in Denver, which indicates a service/technical issue."
2216324,@115900 @87489 how much are you planning to charge for the gaming bundle?,"@656229 Hey there, I would be more than happy to answer any questions you may have. May you please Dm me so we can speak some more? -Rox",technical_service_issue,no,"The customer is asking how much the gaming bundle will cost, so this is a request for information about pricing."
76853,@GreggsOfficial gutted that at 9:40 ish there was no baguettes for a breakfast 😭,@133118 oh no! Which shop was this?,complaint_feedback,no,The customer is complaining that there were no baguettes available for breakfast at 9:40. This is feedback/complaint about product availability
1692118,"@AmericanAir @British_Airways My American Air ""day-of-travel"" contact info keeps saying to enter it after I submit and reload. What to do?",@491353 address and telephone number. We'll then try to enter this for you.^Jo 2/2,account_access,no,The customer says the “day-of-travel” contact information keeps asking them to enter it again after submitting and reloading.
933401,Petition to make some carriages on trains only for dogs 💪🏾 @VirginTrains,@341401 What about the people! ^MW,information_request,no,"The customer is making a request/suggestion about allowing train carriages only for dogs. It doesn't involve delivery, payment, account access, technical problems, or refunds."
121294,"@115714 I will be looking at your offers. Since Loyalty doesn't matter to @115911, I now consider myself a free agent. I know the $1500-2000 a year I spend on cell service for me and my family is nothing to them, but it is to me! #loyaltymatters","@143008 We will be more than happy to make you feel appreciated. In order to view the amazing deals we currently have available for our customers, please visit: https://t.co/0qT1rLBLtN . - JF",complaint_feedback,no,"The customer is complaining about the loyalty program, saying their spending is not being valued and they are considering leaving."
443104,@Uber_Support Uber eats just tried to steal over $600 in a few transactions today.,@220005 We're here to help. Can you please send us a DM with your email address so we can connect?,account_access,no,The customer reports that someone tried to steal over $600 through several transactions. This is related to suspicious/unauthorized account activity.
563017,"Have to say @116090 are amazing. Their delivery company is the opposite. One driver left a package outside of a closed company at 8pm and the other left it on the driveway, where if someone backed out if the garage, it would be crushed. Impossible to detect. Like really?",@251793 I am so sorry to hear this. We want to investigate this further. Please reach out to us using this secure link: https://t.co/eqlH7ltpUn ^GR,delivery_shipping,yes,"The customer is complaining that the delivery driver left the package outside a closed company, and the package could have been damaged. This is clearly a delivery issue"
673120,@115821 why is Evil Within 2 gone on PS4 but still live for Xbox games?,"@280560 Hi Ryan, I've checked on our https://t.co/nUUp5MLhYl and found the following listing: https://t.co/KZJ3TBdfem is this what you are looking for?^TI",information_request,no,The customer is asking why a game is available on Xbox but not on PS4.
2569969,"@UPSHelp There is no one to pickup phone in UPS Bangalore, India. Frustrating! My package from Create Space undelivered.",@580472 We can look into your package for you. Please DM us your tracking #. ^LD https://t.co/wKJHDXWGRQ,delivery_shipping,yes,The customer says their package is undelivered and there is no one available to pick it up.
665116,"@DropboxSupport Yeah, I think this isn’t a great experience. When I’m presenting to stakeholders, blurry scaled images aren’t terribly desirable.","@278521 Understood, Jim. We’re sending your comments over to our Paper team so they’re aware. Thanks, and have a great week!",complaint_feedback,no,The customer is complaining about blurry images affecting their presentation and is providing product feedback.
1396262,@TMobileHelp @115911 @115913 @115714 @ATT @115725 Still waiting on that DM.....,"@272961 @115913 We truly appreciate your patience, Andrew. We will be responding ASAP. *ShelbyMartin",complaint_feedback,no,Customer is complaining about a delayed response and is still waiting for support via DM.
2843440,So displeased with my current customer service @TMobileHelp @115911,@791049 Oh no! I don't want you to feel this way! Send me a DM so we can turn this around. https://t.co/cbaCC4vqgh *MichelleWalker,complaint_feedback,no,Customer is expressing dissatisfaction with the current customer service experience.
2251444,"Dear @115888: 

""RESUME SHUFFLE PLAY"" &amp; ""SHUFFLE PLAYLISTS"". 

Why you not?","@403891 Hi! Suggest resume shuffle in our Community at https://t.co/WgY7GXI7jf, then vote for playlist shuffling here: https://t.co/nLOkmQRdv7 /LS",information_request,no,Customer is requesting information about resuming shuffle play and shuffling playlists.
952619,@sprintcare Why are loyal customers wishing to upgrade not treated as well as potential customers?,"@346015 We have promotions available for all types of customers. If you wish to learn what promotions apply to you, send me a DM. -KM",complaint_feedback,no,Customer is complaining about how loyal customers are treated and questioning the upgrade/customer promotion policy.
123305,@6963 are you going to cover how @XboxSupport and @AskPlayStation gave refunds to @138777 Xbox gave full 6 month refund to customers while @117014 gave them the finger,"@143543 Hi there! For more insight into this, we recommend reaching out to the live chat team https://t.co/lUV7XYl61S  ^TJ",refund_cancellation,no,Customer is asking about refunds provided to customers and comparing refund policies between services.
448799,@AmazonHelp Customer service after 3 days is very poor support. I have no idea what the situation is and what is being done about this,"@220956 I understand the frustration. When you spoke to us, did we provide a time frame or any insight? ^WT",complaint_feedback,no,Customer is complaining about poor customer service and lack of updates after three days.
972664,"@AirAsiaSupport hi,please help me to amend my gender from male to female for booking number AH8LPF,
thank you😁","@350712 Hi Dear, kindly provide us passenger full name and date of birth for title correction. Thanks-Mich",account_access,no,Customer is requesting a change to the passenger details (gender) on an existing booking.
266654,It's 2017 @115714 why can I not browse the internet or receive an email while on a call? Am I missing something?,"@179538 When connected to Wi-Fi, you can make calls and access data. However, customers have been asking and we’re delivering! -NW",technical_service_issue,no,: Customer is reporting a technical issue with mobile data and email access while on a phone call.
2679872,TFW you accidentally booked your tickets in reverse destinations and @delta understands that stupid happens and waives the change fees. &lt;3,"@754009 Hi Christina, thanks for contacting us.  How may I assist you with your reservation today?  *HML",refund_cancellation,no,The customer accidentally booked tickets in the wrong destinations and mentions that the airline waived the change fees
1722880,@521244 @VerizonSupport @115955 hopefully you can help us out,@518283 What's going on?  ^CAR,other,no,The customer only says “hopefully you can help us out” without explaining the actual issue.
1674227,"@XboxSupport paused a near 5gb game update to not take up my internet for a day, got the dash update, game update gone &amp; game unplayable now",@509422 DM us your Gamertag and clarify what the issue is that you're having so we can investigate?  2 ^BZ,technical_service_issue,yes,Customer reports that a game update disappeared and the game is now unplayable.
794177,"@hulu_support Sure, I’ll try and grab one in the next few days and report back","@309368 Thanks for your cooperation, Josh! We'll be on the lookout for updates from you.",other,no,Customer says they will try the suggested action and report back.
1898370,Hey @116076 @AskPapaJohns should I still wait for your call? https://t.co/mZo4imIFmx,@214475 We apologize that you haven't been contacted. We have sent the case up to the supervisors of the store and are awaiting a response. Thanks!,complaint_feedback,yes,Customer is still waiting for a promised callback and has not been contacted.
287866,"@AmazonHelp But when I play anything a box comes up saying app isnt responding and when I click back to get rid of the box, it shuts the whole app down.",@184607 I'm sorry for the trouble! We can look further into this with you in real-time here: https://t.co/JzP7hlA23B ^WJ,technical_service_issue,yes,Customer reports that the app stops responding and crashes when playing content.
2403545,"@691410 @139778 @127289 Coucou Melazuline, oui, il faut prendre 1 photo des 3 et 1 élément (le brush dans mon image) de la bibliothèque CC. Libre à toi de rajouter d'autres photos de tes stocks. Pour le format, rien est stipulé dans le règlement, j'en déduis que c'est libre. 
https://t.co/U9V9GvOUT7","@691411 @691410 Thanks for the update. Do you know when did you captured these images? Also, if most of them are only local images, it would be hard to recover them since they we restore them from the cloud itself. Thanks!
^SK",technical_service_issue,no,Customer is discussing an issue with recovering images from cloud storage.
1084854,@AlaskaAir Mahalo! https://t.co/jMXm3XLpix,@375900 Woohoo! Enjoy :) -Jordan,complaint_feedback,no,Customer is expressing positive feedback and appreciation.
673762,Once again @GWRHelp have cancelled 9.55 Cardiff to London due to not enough available rolling stock. Result is late for appointment. Solution is invest more of profits in infrastructure or nationalise rail. @280693,@280692 @280693 Hi Paul. Apologies for the inconvenience this has caused. We are currently making the biggest investment in a generation on new trains for this route which will help prevent issues like this going forward - Josh,complaint_feedback,yes,Customer is complaining about a repeated train cancellation that caused them to be late for an appointment.
758913,@115821 do you think people just get 2day shipping for fun?????? my friends birthday is TOMORROW and her presents are LATE!!!!!,"@301349 Using the same link provided, can you tell us who the carrier is for this shipment and what the latest tracking shows? ^KN",delivery_shipping,yes,Customer is complaining that a 2-day shipment is late and the package has not arrived.
2144655,Also @115858 when are y’all gonna fix this error with the letter I because it’s getting annoying. I️ can’t write “I️” or “I.T” without these errors occurring.,@344743 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_service_issue,no,Customer reports a software typing error and needs a future update to fix it.
96903,@AppleSupport Hey! I don't see anymore the link to create an app-specific passcode... Where is this now?! =(,@136847 We can help. Have you tried the steps found here: https://t.co/a2hzoE0Skt,account_access,no,Customer cannot find the option to create an app-specific passcode.
1636434,Why have I only been refunded £5.68 for delay repay for a ticket that cost me £113.60? The affected journey would’ve cost £20 @SW_Help 😢,"@500524 Hi Luka, could you let me know your journey please? ^BV",billing_payment,yes,Customer is questioning an incorrect refund amount for a delayed journey.
2111405,@592406 @115858 @AppleSupport Me too! What’s up with I️t?,@632604 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,technical_service_issue,no,Customer reports the same typing issue with the letter I in the software.
381302,"Hey @Delta, would you like a new loyalty member? @116450 doesn’t keep their word. Hardly what I’d call loyalty. https://t.co/3RmNLInygZ","@206430 Greg, we would love to have you fly with us. Pls see the following link to sign up for a free Skymiles account.  *HCA",information_request,no,Customer is asking about joining the airline's loyalty program.
1950733,@115858 Was trying to teeet but my phone shut down on its own for no reason. Any thoughts? 🙋🏻I have one! Fix the update!,@579377 We'd love to help! Certainly not what we want you to experience. Please DM us about the issues you're seeing. https://t.co/GDrqU22YpT,technical_service_issue,yes,Customer reports that the phone shuts down unexpectedly after an update.
2433443,@HPSupport [TYPE YOUR QUESTION HERE] #hppsdr #ijkhelpO CARTUCHO NÃO FUNCIONA,"@698337 For support in you language, please fill the web form using this link: https://t.co/0jQc5ucYzc. 2/2 ^Susan",technical_service_issue,yes,Customer reports that the cartridge is not working and needs technical support.
2972564,@XboxSupport i keep getting this same error code every attempt I make to connect to my one buddy. No issues with any other person but him and it just started a week ago. Your 'customer support' line was useless and told me that not even a real code. Im about to buy a PS4 https://t.co/wyfiGiiA0Q,@819864 Hi there! Can you DM us your Gamertag and a photo of your network stats: Settings&gt;Network&gt;Network Settings&gt;Detailed Network Statistics? ^JL,technical_service_issue,yes,Customer reports a recurring error when connecting to one friend and needs technical support.
